source,task_id
kaggle_notebook,cdeotte_catboost-starter-lb-0-60
kaggle_notebook,cdeotte_efficientnetb0-starter-lb-0-43
kaggle_notebook,chadalee_olympics-data-cleaning-exploration-prediction
kaggle_notebook,chanakyavivekkapoor_decomposing-time-series-data
kaggle_notebook,chanchal24_heart-disease-eda-prediction-7-model-90-accuracy
kaggle_notebook,chirag19_time-series-analysis-with-python-beginner
kaggle_notebook,chocozzz_recommendation-medicines-by-using-a-review
kaggle_notebook,chumajin_janestreet-updated-simulator-for-time-series-api
kaggle_notebook,code1110_janestreet-faster-inference-by-xgb-with-treelite
kaggle_notebook,codebreaker619_employee-salary-prediction-using-linear-regression
kaggle_notebook,codebreaker619_predicting-profits-with-multiple-linear-regression
kaggle_notebook,colara_human-resources-analytics-a-descriptive-analysis
kaggle_notebook,corochann_bengali-seresnext-prediction-with-pytorch
kaggle_notebook,corochann_bengali-seresnext-training-with-pytorch
kaggle_notebook,corochann_lyft-comprehensive-guide-to-start-competition
kaggle_notebook,corochann_vinbigdata-detectron2-prediction
kaggle_notebook,couyang_wine-eda-dt-rf-xgb-lightgbm-svm-and-h2o
kaggle_notebook,crawford_exercise-predicting-stock-prices
kaggle_notebook,crawford_exercise-time-series-modeling
kaggle_notebook,daniilkrasnoproshin_lasso-regularization-vs-vanilla-linear-regression
kaggle_notebook,daniilkrasnoproshin_logistic-regression-demystified-beginner-s-guide
kaggle_notebook,daniilkrasnoproshin_logistic-regression-for-cancer-diagnosis
kaggle_notebook,daniilkrasnoproshin_model-evaluation-metrics-deep-dive
kaggle_notebook,daniilkrasnoproshin_quick-intro-to-random-forest-for-classification
kaggle_notebook,dansbecker_basic-data-exploration
kaggle_notebook,dansbecker_exercise-advanced-uses-of-shap-values
kaggle_notebook,dansbecker_exercise-airline-price-optimization-microchalleng
kaggle_notebook,dansbecker_exercise-basic-data-exploration-daily
kaggle_notebook,dansbecker_exercise-explore-your-data
kaggle_notebook,dansbecker_exercise-intro-to-dl-for-computer-vision
kaggle_notebook,dansbecker_exercise-model-validation
kaggle_notebook,dansbecker_exercise-partial-plots
kaggle_notebook,dansbecker_exercise-permutation-importance
kaggle_notebook,dansbecker_exercise-random-forests-daily
kaggle_notebook,dansbecker_exercise-shap-values
kaggle_notebook,dansbecker_exercise-your-first-machine-learning-model
kaggle_notebook,dansbecker_handling-missing-values
kaggle_notebook,dansbecker_model-validation
kaggle_notebook,dansbecker_partial-plots
kaggle_notebook,dansbecker_selecting-and-filtering-in-pandas
kaggle_notebook,dansbecker_shap-values
kaggle_notebook,dansbecker_use-cases-for-model-insights
kaggle_notebook,darrylljk_decision-trees
kaggle_notebook,datacog314_tutorial-machine-learning-interpretability
kaggle_notebook,datafan07_heart-disease-and-some-scikit-learn-magic
kaggle_notebook,datafan07_optiver-volatility-predictions-using-tabnet
kaggle_notebook,datalearn_uber-data-analysis-machine-learning
kaggle_notebook,datark1_customers-clustering-k-means-dbscan-and-ap
kaggle_notebook,datasniffer_voice-gender-recognition
kaggle_notebook,davinci23_house-price-prediction-using-linear-regression
kaggle_notebook,ddosad_automobile-sales-visual-eda
kaggle_notebook,ddosad_time-series-arma-arima-sarima-concepts
kaggle_notebook,ddosad_tourism-website-engagement-eda
kaggle_notebook,deepakdeepu8978_covid-19-analysis-eda-forecasting
kaggle_notebook,deepdivelm_feature-engineering-lightgbm-exploring-performance
kaggle_notebook,dejavu23_sms-spam-or-ham-beginner
kaggle_notebook,desalegngeb_english-premier-league-players-statistics
kaggle_notebook,desalegngeb_heart-disease-predictions
kaggle_notebook,devahuja2808_crime-rate-prediction-and-analysis
kaggle_notebook,devahuja2808_store-sales-time-series-forecasting
