test_file	line	test_name	target_symbol	reference_form	symbol_origin
tests/test_cli_main.py	644	test_pr_merge_strips_method_flags_and_forces_no_ff	shutil	module 経由	import 束縛
tests/test_cli_main.py	645	test_pr_merge_strips_method_flags_and_forces_no_ff	subprocess	module 経由	import 束縛
tests/test_cli_main.py	658	test_forward_returns_error_when_gh_missing	shutil	module 経由	import 束縛
tests/test_cli_main.py	707	_patches	shutil	module 経由	import 束縛
tests/test_cli_main.py	709	_patches	subprocess	module 経由	import 束縛
tests/test_cli_main.py	755	test_empty_json_field_rejected	shutil	module 経由	import 束縛
tests/test_cli_main.py	757	test_empty_json_field_rejected	subprocess	module 経由	import 束縛
tests/test_cli_main.py	769	test_only_comma_json_rejected	shutil	module 経由	import 束縛
tests/test_cli_main.py	771	test_only_comma_json_rejected	subprocess	module 経由	import 束縛
tests/test_cli_main.py	781	test_missing_gh_returns_runtime_error	shutil	module 経由	import 束縛
tests/test_cli_main.py	789	test_repo_detect_failure_returns_runtime_error	shutil	module 経由	import 束縛
tests/test_cli_main.py	809	test_argv_uses_reviews_path	shutil	module 経由	import 束縛
tests/test_cli_main.py	811	test_argv_uses_reviews_path	subprocess	module 経由	import 束縛
tests/test_cli_main.py	833	test_argv_contains_post_method_and_body	shutil	module 経由	import 束縛
tests/test_cli_main.py	835	test_argv_contains_post_method_and_body	subprocess	module 経由	import 束縛
tests/test_cli_main.py	849	test_non_numeric_comment_id_returns_invalid_input	shutil	module 経由	import 束縛
tests/test_cli_main.py	1070	_patches	shutil	module 経由	import 束縛
tests/test_cli_main.py	1072	_patches	subprocess	module 経由	import 束縛
tests/test_cli_main.py	1191	test_missing_gh_returns_runtime_error	shutil	module 経由	import 束縛
tests/test_cli_main.py	1199	test_repo_detect_failure_returns_runtime_error	shutil	module 経由	import 束縛
tests/test_cli_main.py	1350	test_self_pr_approve_with_explicit_repo_flag	subprocess	module 経由	import 束縛
tests/test_cli_main.py	1373	test_self_pr_approve_with_long_repo_flag	subprocess	module 経由	import 束縛
tests/test_cli_main.py	1509	test_request_changes_missing_body_fails_fast	shutil	module 経由	import 束縛
tests/test_cli_main.py	1511	test_request_changes_missing_body_fails_fast	subprocess	module 経由	import 束縛
tests/test_cli_main.py	1522	test_request_changes_whitespace_body_fails_fast	shutil	module 経由	import 束縛
tests/test_cli_main.py	1524	test_request_changes_whitespace_body_fails_fast	subprocess	module 経由	import 束縛
tests/test_cli_main.py	1540	test_request_changes_empty_body_file_fails_fast	shutil	module 経由	import 束縛
tests/test_cli_main.py	1542	test_request_changes_empty_body_file_fails_fast	subprocess	module 経由	import 束縛
tests/test_cli_main.py	1556	test_request_changes_missing_body_fails_fast_for_non_self_pr	shutil	module 経由	import 束縛
tests/test_cli_main.py	1558	test_request_changes_missing_body_fails_fast_for_non_self_pr	subprocess	module 経由	import 束縛
tests/test_cli_main.py	1658	test_request_changes_missing_body_file_returns_invalid_input	shutil	module 経由	import 束縛
tests/test_cli_main.py	1660	test_request_changes_missing_body_file_returns_invalid_input	subprocess	module 経由	import 束縛
tests/test_cli_main.py	1681	test_approve_missing_body_file_returns_invalid_input	shutil	module 経由	import 束縛
tests/test_cli_main.py	1683	test_approve_missing_body_file_returns_invalid_input	subprocess	module 経由	import 束縛
tests/test_cli_main.py	1857	test_existing_pr_view_fails_when_config_missing	subprocess	module 経由	import 束縛
tests/test_dispatcher.py	179	test_no_provider_section_fails_fast_exit_2	subprocess	module 経由	import 束縛
tests/test_dispatcher.py	195	test_github_provider_routes_to_passthrough	shutil	module 経由	import 束縛
tests/test_dispatcher.py	196	test_github_provider_routes_to_passthrough	subprocess	module 経由	import 束縛
tests/test_dispatcher.py	220	test_github_provider_strips_local_only_commit_flag	shutil	module 経由	import 束縛
tests/test_dispatcher.py	221	test_github_provider_strips_local_only_commit_flag	subprocess	module 経由	import 束縛
tests/test_dispatcher.py	253	test_local_provider_view_dispatches_to_local_handler	subprocess	module 経由	import 束縛
tests/test_dispatcher.py	572	test_view_jq_works_without_system_jq_binary	shutil	module 経由	import 束縛
